,UnitId,Text,X.M..language..,X.M..object_posted_time..,id,detected,value,ambiguity
25701,"tag:search.twitter.com,2005:875050267569524738",earthquake triggers landslides in western guatemala https://t.co/chevx9idso @catholicrelief pics show damage in que… https://t.co/ix78wsagdj ,en,6/14/2017 6:00:16 PM,25701,NA,6,2
60120,"tag:search.twitter.com,2005:874351601754017794",rt @1newsnz: woman killed on greek island of lesbos after powerful 6.2 magnitude earthquake https://t.co/ri9hcs8zkg https://t.co/txhw3lldjt ,en,6/12/2017 7:41:05 PM,60120,NA,5,2
23781,"tag:search.twitter.com,2005:875020418826031105",rt @lastquake: powerful #earthquake shakes #guatemala 12 min ago. more info at: https://t.co/qrlbnaxnqc https://t.co/y56rd9t3nd ,en,6/14/2017 7:41:34 AM,23781,NA,5,2
45232,"tag:search.twitter.com,2005:874264570931671040","an earthquake with richter 6,3 in izmir city of turkey... no need to be in panic, keep calm please ",en,6/12/2017 1:58:11 PM,45232,NA,7,1
73546,"tag:search.twitter.com,2005:874560054908919808",κρέτσου σε μ. σπυράκη:έως και 100% χρηματοδότηση για ζημιές από φυσικές καταστροφές» https://t.co/fn89ngkssw μέσω του χρήστη @karfitsa.gr ,el,6/13/2017 9:32:20 AM,73546,NA,7,1
48751,"tag:search.twitter.com,2005:874280646398619648","turkey earthquake: tremors felt in istanbul and athens - the tremors were felt in istanbul, athens and on some ... https://t.co/uoklhinuno ",en,6/12/2017 3:02:04 PM,48751,NA,3,2
43360,"tag:search.twitter.com,2005:874257277473234944","#σεισμός λέσβος: κατέρρευσαν παλιά σπίτια στο πλωμάρι, &amp; ο τρούλος του ναού του αγ.παντελεήμονα. ζημιές και στον οικισμό της πλαγιάς ",el,6/12/2017 1:29:12 PM,43360,NA,7,2
70480,"tag:search.twitter.com,2005:874500592722378753",rt @thecallergr: καταστροφικός ο σεισμός στη λέσβο: 12 χωριά έχουν υποστεί ζημιές - 800 άνθρωποι χωρίς σπίτι! https://t.co/xzip9t0kuc ,el,6/13/2017 5:32:28 AM,70480,NA,7,2
39468,"tag:search.twitter.com,2005:874247722437459968",rt @lastquake: latest map of the felt reports collected at emsc after m6.3 #earthquake https://t.co/mbibfnjrmu ,en,6/12/2017 12:49:25 PM,39468,NA,3,1
40216,"tag:search.twitter.com,2005:874249388075479041","εκτακτο: ισχυρός σεισμός 6,1 ρίχτερ ανοικτά της λέσβουhttps://t.co/bn6yrrhjrf https://t.co/w8iaihuh6l ",el,6/12/2017 12:57:51 PM,40216,NA,5,2
38152,"tag:search.twitter.com,2005:874245309743890432","σεισμός 6,2 ρίχτερ ανοιχτά της μυτιλήνης – αισθητός στην αθήνα https://t.co/mswzemagx9 ",el,6/12/2017 12:41:39 PM,38152,NA,3,2
38874,"tag:search.twitter.com,2005:874246740744052736",ισχυρός σεισμός 6 ρίχτερ με επίκεντρο μεταξύ χίου και λέσβου https://t.co/bltqopp9ng ,el,6/12/2017 12:47:20 PM,38874,NA,5,2
39490,"tag:search.twitter.com,2005:874247752133337088","rt @kathimerini_gr: ισχυρός σεισμός 6,1 με επίκεντρο 40 χιλιόμετρα νοτιοδυτικά της μυτιλήνης https://t.co/7bidsssos5 ",el,6/12/2017 12:41:08 PM,39490,NA,5,2
23794,"tag:search.twitter.com,2005:875020750406639616",there was a 7.0 earthquake in #guatemala. another white man terrorized folks with a gun. i am in some type of mood. ,en,6/14/2017 4:02:58 PM,23794,NA,7,1
71555,"tag:search.twitter.com,2005:874521280355196928","rt @bnikolopoulos: επεισόδια στο μενίδι,κατολίσθηση στο αμύνταιο,σεισμός στη λέσβο...τρίτη &amp; 13 ιουνίου, τι άλλο να γίνει?καλημέρα με…  ",el,6/13/2017 5:11:09 AM,71555,NA,6,1
15279,"tag:search.twitter.com,2005:874926749175435264",strong 6.9-magnitude earthquake hits guatemala-mexico border - - https://t.co/zzy0dbsaad https://t.co/tt4udhkwia ,en,6/14/2017 9:49:27 AM,15279,NA,5,2
47246,"tag:search.twitter.com,2005:874273134735745024","σεισμός 6,1 ρίχτερ ανοιχτά της μυτιλήνης – κατέρρευσαν σπίτια στο πλωμάρι https://t.co/ftebcq6crr ",el,6/12/2017 2:32:13 PM,47246,NA,9,2
50538,"tag:search.twitter.com,2005:874291697403912192",rt @mignatiou: κτυπήθηκε άγρια η βρίσα: «το μισό χωριό έχει μεγάλες ζημιές και πολλά σπίτια… https://t.co/hokq3ep3v6 https://t.co/vbthxgsgcn ,el,6/12/2017 2:44:46 PM,50538,NA,7,2
10560,"tag:search.twitter.com,2005:874897557830475776","rt @usgsbigquakes: prelim m6.9 earthquake mexico-guatemala border region jun-14 07:29 utc, updates https://t.co/mzxnvgohrk ",en,6/14/2017 7:49:51 AM,10560,NA,5,1
38076,"tag:search.twitter.com,2005:874245279247192064","rt @kathimerini_gr: ισχυρός σεισμός 6,1 με επίκεντρο 40 χιλιόμετρα νοτιοδυτικά της μυτιλήνης https://t.co/7bidsssos5 ",el,6/12/2017 12:41:08 PM,38076,NA,5,2
42790,"tag:search.twitter.com,2005:874255526523277312","σ'εφαρμογή το σχέδιο ""και τι να κάνουμε""έγινε σεισμόςκαι τι να κάνουμε?πέσαν σπίτιακαι τι να κάνουμε?υπάρχουν άστεγοικαι τ να κάνουμε? ",el,6/12/2017 1:22:15 PM,42790,NA,9,1
49200,"tag:search.twitter.com,2005:874283176348266497",#news #armenian turkey earthquake: tremors felt in istanbul and athens - bbc news: bbc news… https://t.co/gagopjqcu7 ,en,6/12/2017 3:12:07 PM,49200,NA,3,2
10791,"tag:search.twitter.com,2005:874898111973478400","rt @usgsbigquakes: prelim m6.9 earthquake mexico-guatemala border region jun-14 07:29 utc, updates https://t.co/mzxnvgohrk ",en,6/14/2017 7:49:51 AM,10791,NA,5,1
67189,"tag:search.twitter.com,2005:874452164197978112",greece earthquake hits lesbos tremors felt in istanbul and... https://t.co/cafemrxgug via @reportuk https://t.co/uxm3iodvuh ,en,6/13/2017 2:23:37 AM,67189,NA,3,2
10680,"tag:search.twitter.com,2005:874897777465143298","rt @usgsbigquakes: prelim m6.9 earthquake mexico-guatemala border region jun-14 07:29 utc, updates https://t.co/mzxnvgohrk ",en,6/14/2017 7:49:51 AM,10680,NA,5,1
