ID,text,amb
1,"""earthquake"" search trends in last one hour by region. a strong influence in the western coast. ",1
338,"""out of the ruins"" survival during mighty san francisco earthquake ",2
1040,"""out of the ruins"" survival during mighty san francisco earthquake ",2
836,"""turkey earthquake: tremors felt in istanbul and athens"" - bbc news ",2
2,"""u.k. in chaos; macron's big win; earthquake at uber""here's what you need to know about the markets before you sta… ",1
3,"""when we had a big earthquake...lots of people around the world helped fukushima...it's my turn to do something for… ",1
1041,"""κουνήθηκε"" όλη η κως-σεισμός 6,1 ρίχτερ ανοιχτά της μυτιλήνης -κατέρρευσαν σπίτια στο πλωμάρι",2
969,"""κουνήθηκε"" όλη η κως-σεισμός 6,1 ρίχτερ ανοιχτά της μυτιλήνης -κατέρρευσαν σπίτια στο πλωμάρι ",2
4,"«Καζάνι που βράζει» το Μενίδι: Κάτοικοι έβαλαν φωτιά σε σπίτια, Ρομά πυροβόλησαν και η αστυνομία παρατηρητής |... ",1
5,«πανικός» στο οακα για τον νταμπλούχο παναθηναϊκό! ,1
6,«Πύρινη κόλαση» στην καρδιά του Λονδίνου - Κάτοικοι είχαν προειδοποιήσει για τον κίνδυνο πυρκαγιάς ,1
351,"[international]: earthquake kills woman, guts houses on greek island ",2
1042,"[international]: earthquake kills woman, guts houses on greek island ",2
7,@boojieswift then we all gon die cos it gon be a big azz earthquake!! ,1
8,"@devonzuegel @manmademoon until the next big earthquake, sure. ",1
9,@dogsareloyal1s one big earthquake and the deep underground military bases might get buried alive. wouldn't that be a shame. ha ha ,1
1043,@fotinirantsiou very sorry to learn of earthquake casualties and damage,2
466,@fotinirantsiou very sorry to learn of earthquake casualties and damage ,2
1044,@gina8_12 νότια στο πλωμάρι υπάρχουν ζημιές αρκετές,2
534,@gina8_12 νότια στο πλωμάρι υπάρχουν ζημιές αρκετές ,2
10,@gmanews @kaeceealvarez massive magnitude 7.0 earthquake on the mexico/ guatemala border. damage to several small c… ,2
582,"@katefortakoma our building has earthquake damages, terrible roach infestations, rats or mice, faulty and unsafe el… ",2
1045,"@katefortakoma our building has earthquake damages, terrible roach infestations, rats or mice, faulty and unsafe el… ",2
593,@kmitsotakis δεν ήταν απαραίτητο να πας μέχρι εκεί.. μπορούσες να διαβάσεις και την αναφορά με τις ζημιές νομίζω..… ,1
1046,@kmitsotakis δεν ήταν απαραίτητο να πας μέχρι εκεί.. μπορούσες να διαβάσεις και την αναφορά με τις ζημιές νομίζω..… ,1
11,@kostas_thoneick το big brother είχε φτάσει 90% είχε γίνει μεγάλος πανικός απλα τωρα με τα σοσιαλ διογκώνεται όλο αυτο ,1
12,"@kurokishis man, glad that you're awake. were there any damage around? since i heard the earthquake was quite big. ",2
13,@lady_snakebite oh man i remember the fear mongering tv specials about killer bees as a kid. those and the big one earthquake ,1
1047,@lisecob that is a pretty big earthquake..,2
647,@lisecob that is a pretty big earthquake.. ,2
14,@missemmace @lmaomario it's to do with how powerful an earthquake is isn't it? ,1
15,@naaaz95 şey the article says turkey was full of snakes those days and this has happened before the big earthquake 99'+ ,1
806,@neca_toys holy shit!!!! i just felt some tremors. i think this post just caused an earthquake! ,1
1048,@neca_toys holy shit!!!! i just felt some tremors. i think this post just caused an earthquake! ,1
16,@niktrah για τους σεισμολόγους μίλησε που όλοι συμφωνούν πως πρέπει να γίνει κι αλλος μεγάλος σεισμός για εκτόνωση της δραστηριότητας ,1
17,@rosequartz0518 i did..thanks. its unusual for here..weather has been really strange since last year after a big ea… ,1
18,@spaceytaehyung and at the end when they silently stare at eachother for a moment i felt like an earthquake ,1
19,"@taxideutis ήταν τότε που ο μητσοτάκης είχε βάλει έναν ειδικό φόρο για τα σπίτια μας, ένα πρελούδιο του ενφια, ο μεγάλος αυτός πολιτικός... ",1
20,@thessalonikios3 μόλις έμαθα πως σε ένα χωριό έγιναν πολλές ζημιές αν και οι πρώτες αναφορές μιλούσαν για πτώσεις κεραμιδιών μόνο. ,1
21,@theunread just wait until you're hit by that big earthquake and see if perfect weather means anything. ,1
22,@yokoranger *blearily awake* been ages since i've felt an earthquake. didn't miss it. ,2
23,@zxckery also have the newblue plugin; used the newblue me earthquake effect. preset: big one. ,1
418,#3novices : earthquake rubble blocks roads in lesbos village ,2
1049,#3novices : earthquake rubble blocks roads in lesbos village ,2
24,#bitgiabit νέο: «πανικός» στο οακα για τον νταμπλούχο παναθηναϊκό! (φωτό) ,1
25,#breaking &gt; magnitude 6.3 #earthquake has just struck the island of #lesvos .  we felt it in #athens as well #seismos #greece . #pray ,2
26,"#breaking 6.9 earthquake reported in #guatemala. no reports of injuries/damage so far, no tsunami warning issued. ",1
27,"#breaking large 7.0m #earthquake strikes coastal chiapas, mexico. officials say no tsunami threat. no immediate word on damage/injuries. ",1
754,#breakingnews greece earthquake - greek island of lesbos evaluating damage after strong earthquake ,2
1050,#breakingnews greece earthquake - greek island of lesbos evaluating damage after strong earthquake ,2
786,"#cyprus #cyprusjournal, ",1
1051,"#cyprus #cyprusjournal, ",1
725,#dirtybook_gr #survivorgr #athenspride2017 #olypao ισχυρός σεισμός στη μυτιλήνη - κατέρρευσαν κτήρια - μια τραυματί ,2
1052,#dirtybook_gr #survivorgr #athenspride2017 #olypao ισχυρός σεισμός στη μυτιλήνη - κατέρρευσαν κτήρια - μια τραυματί ,2
1053,#dirtybook_gr #survivorgr #survivorpanoramagr #kanemou_like ισχυρός σεισμός στη μυτιλήνη - κατέρρευσαν κτήρια,2
757,#dirtybook_gr #survivorgr #survivorpanoramagr #kanemou_like ισχυρός σεισμός στη μυτιλήνη - κατέρρευσαν κτήρια ,2
1054,#dirtybook_gr #survivorgr #survivorpanoramagr #kanemou_like ισχυρός σεισμός στη μυτιλήνη - κατέρρευσαν κτήρια ,2
28,#dirtybook_gr #survivorgr #survivorpanoramagr μενίδι ώρα 0. το απαγορευμένο βίντεο οι μολότωφ και ο πανικός ,1
29,"#earthquake (#sismo) possibly felt 2 min ago in region metropolitana, #chile. felt it? see ",1
30,#earthquake (#zemljotres) possibly felt 2 min ago in bosnia and herzegovina. felt it? see ,1
31,#earthquake (#земјотрес) possibly felt 2 min ago in fyr of macedonia. felt it? see ,1
1055,"#earthquake #kills #woman, #destroys #houses on #lesbos | #greece #news: a powerful…",2
32,#earthquake in #guatemala near mexican border. quakes are common in guatemala. this one stronger than most. looks like minimal damage. ,2
339,"#earthquake kills woman, guts houses on #greek island of #lesbos ",2
1056,"#earthquake kills woman, guts houses on #greek island of #lesbos ",2
33,"#earthquake magnitude 1.13 occurred 10km n of big bear city, ca 2017-06-14t15:48:47.940z utc #didyoufeelit? ",1
34,"#earthquake magnitude 1.2 occurred 10km nnw of big bear lake, ca 2017-06-12t22:44:24.810z utc #didyoufeelit? ",1
554,"#earthquake strikes western turkey, greek island; dozens of buildings damaged ",2
1057,"#earthquake strikes western turkey, greek island; dozens of buildings damaged ",2
733,"#earthquakes news - one killed, 11 others injured as strong earthquake hits eastern greece ",2
1058,"#earthquakes news - one killed, 11 others injured as strong earthquake hits eastern greece ",2
735,#earthquakes news - strong earthquake above 6.3 on richter scale rocks mytilene - a woman found dead (pics) ,2
1059,#earthquakes news - strong earthquake above 6.3 on richter scale rocks mytilene - a woman found dead (pics) ,2
695,"#earthquakes news - strong, shallow earthquake rattles indonesia island ",2
1060,"#earthquakes news - strong, shallow earthquake rattles indonesia island ",2
35,#earthquakes news - u.k. in chaos; macron's big win; earthquake at uber ,1
545,"#eartquake in #lesvos we pray there are no after shocks that do any more damage. i had an aunt fanny from mitilini,… ",2
1061,"#eartquake in #lesvos we pray there are no after shocks that do any more damage. i had an aunt fanny from mitilini,… ",2
1062,#ektakto - σεισμός μυτιλήνη: νεκρή ανασύρθηκε η εγκλωβισμένη γυναίκα,2
994,#ektakto - σεισμός μυτιλήνη: νεκρή ανασύρθηκε η εγκλωβισμένη γυναίκα ,2
533,"#greece -  #lesvos become most damaged by the earthquake, no fatalities report. ",2
1063,"#greece -  #lesvos become most damaged by the earthquake, no fatalities report. ",2
849,#greece #earthquake hits #lesbos: tremors felt in #istanbul and #athens➡ ,2
36,#hawaii’s big island hit by m5.3 #earthquake ,1
762,"#indonesia strong, shallow earthquake rattles indonesia's capital - ctv news ",2
1064,"#indonesia strong, shallow earthquake rattles indonesia's capital - ctv news ",2
37,#insurance: hawaii’s big island hit by m5.3 earthquake ,1
529,#kapanews μεγάλες ζημιές και τραυματισμοί στη λέσβο μετά τον ισχυρό σεισμό (βίντεο) ,2
1065,#kapanews μεγάλες ζημιές και τραυματισμοί στη λέσβο μετά τον ισχυρό σεισμό (βίντεο) ,2
38,#losangelesnews with latimes: get ready for a major earthquake. what to do before — and during — a big one … ,2
670,"#naturaldisastersnews - one dead as powerful earthquake hits greece, turkey ",2
1066,"#naturaldisastersnews - one dead as powerful earthquake hits greece, turkey ",2
788,"#naturaldisastersnews - powerful earthquake rattles turkey, greek island ",2
1067,"#naturaldisastersnews - powerful earthquake rattles turkey, greek island ",2
710,"#naturaldisastersnews - strong earthquake strikes greece, turkey ",2
1068,"#naturaldisastersnews - strong earthquake strikes greece, turkey ",2
1069,#naturaldisastersnews - turkey earthquake: tremors felt in istanbul and athens,2
964,#naturaldisastersnews - turkey earthquake: tremors felt in istanbul and athens ,2
39,#naturaldisastersnews - u.k. in chaos; macron's big win; earthquake at uber ,1
800,#news #armenian turkey earthquake: tremors felt in istanbul and athens - bbc news: bbc news… ,2
448,"#news #earthquake earthquake kills woman, damages buildings on greek island - npr: npr earthquake kills woman… ",2
1070,"#news #earthquake earthquake kills woman, damages buildings on greek island - npr: npr earthquake kills woman… ",2
40,#news #earthquake hawaii's big island hit by m5.3 earthquake - insurance journal: hawaii's big island hit by m5.3… ,1
344,#news #earthquake shattered lesbos surveys ruins after earthquake - euronews: euronews shattered lesbos surveys… ,2
1071,#news #earthquake shattered lesbos surveys ruins after earthquake - euronews: euronews shattered lesbos surveys… ,2
41,#news #earthquake signs of past california 'mega-quakes' show danger of the big one on san andreas fault - los… ,1
736,"#news #earthquake strong, shallow earthquake rattles jakarta - the hindu: bno news strong, shallow earthquake… ",2
1072,"#news #earthquake strong, shallow earthquake rattles jakarta - the hindu: bno news strong, shallow earthquake… ",2
686,"#news #earthquake strong, shallow earthquake rattles jakarta - the hindu: the new indian express strong, shallow… ",2
1073,"#news #earthquake strong, shallow earthquake rattles jakarta - the hindu: the new indian express strong, shallow… ",2
